time,open,high,low,close,tick_volume,spread,real_volume
2015-04-01,1.9823300000000001,1.9996800000000001,1.98217,1.98804,87419,22,0
2015-04-02,1.98804,1.9964300000000001,1.97317,1.97405,86949,22,0
2015-04-03,1.97326,1.97802,1.9571,1.96034,34079,22,0
2015-04-06,1.9639600000000002,1.97839,1.95659,1.97141,50669,22,0
2015-04-07,1.97142,1.98146,1.96977,1.97485,96653,22,0
2015-04-08,1.97495,1.9776099999999999,1.96251,1.9670999999999998,81073,22,0
2015-04-09,1.96705,1.97342,1.94368,1.9436900000000001,84802,22,0
2015-04-10,1.9435799999999999,1.94768,1.93753,1.9407299999999998,79268,22,0
2015-04-13,1.94296,1.9720499999999999,1.94167,1.96801,83380,22,0
2015-04-14,1.9679,1.97001,1.95721,1.96407,80168,22,0
2015-04-15,1.96407,1.9702199999999999,1.9467400000000001,1.95304,132454,11,0
2015-04-16,1.95317,1.95771,1.94282,1.9456099999999998,190143,12,0
2015-04-17,1.94562,1.9554200000000002,1.94191,1.9458,165914,11,0
2015-04-20,1.94131,1.9497499999999999,1.93561,1.94502,168833,17,0
2015-04-21,1.9451800000000001,1.94987,1.93034,1.9466,201579,22,0
2015-04-22,1.94481,1.96426,1.93773,1.9611399999999999,202738,17,0
2015-04-23,1.96169,1.99101,1.96061,1.98274,167843,7,0
2015-04-24,1.98054,2.00281,1.98054,1.9982600000000001,154437,1,0
2015-04-27,1.99803,1.99913,1.9857200000000002,1.99295,74061,22,0
2015-04-28,1.99145,1.99917,1.97967,1.98665,96203,11,0
2015-04-29,1.98576,2.00999,1.9817900000000002,2.00677,81827,5,0
2015-04-30,2.01854,2.03568,2.0085,2.01655,69376,15,0
2015-05-01,2.0145,2.03111,2.00505,2.00839,48390,7,0
2015-05-04,2.01132,2.01741,2.00168,2.00645,46478,2,0
2015-05-05,2.00675,2.02354,2.00051,2.0079,77857,6,0
2015-05-06,2.00736,2.03547,2.00455,2.03164,83453,10,0
2015-05-07,2.03212,2.05228,2.02474,2.04788,80897,2,0
2015-05-08,2.06628,2.08543,2.05683,2.06141,89470,1,0
2015-05-11,2.06903,2.12508,2.06903,2.124,71186,15,0
2015-05-12,2.12398,2.1334400000000002,2.11163,2.12705,75204,10,0
2015-05-13,2.12719,2.13988,2.09269,2.1033,75645,3,0
2015-05-14,2.10334,2.1088,2.08016,2.1037,76968,9,0
